cost,runtime
32,0.04899024963378906
332,0.047089576721191406
332,0.04608583450317383
332,0.04704141616821289
332,0.04649853706359863
32,0.048999786376953125
332,0.047490596771240234
332,0.047000885009765625
32,0.051914215087890625
32,0.04982304573059082
332,0.04869437217712402
32,0.05000710487365723
32,0.051007986068725586
32,0.05008244514465332
32,0.05010056495666504
332,0.0469965934753418
32,0.04810142517089844
32,0.05008983612060547
32,0.04999184608459473
32,0.04822421073913574
32,0.05010056495666504
32,0.04700803756713867
32,0.04908013343811035
32,0.0499725341796875
332,0.04717445373535156
32,0.04903078079223633
32,0.047002315521240234
32,0.04944610595703125
32,0.047998666763305664
332,0.04609084129333496
332,0.046010732650756836
332,0.04627227783203125
332,0.04692673683166504
32,0.04892301559448242
32,0.05108499526977539
332,0.04608726501464844
332,0.0470890998840332
32,0.05017399787902832
332,0.048018455505371094
32,0.050994157791137695
332,0.0469965934753418
32,0.04898667335510254
332,0.056000709533691406
332,0.046743154525756836
332,0.04931068420410156
332,0.04702901840209961
332,0.04701828956604004
332,0.04810070991516113
32,0.047094106674194336
332,0.04699897766113281
332,0.046425819396972656
332,0.0470881462097168
332,0.04924178123474121
332,0.045986175537109375
32,0.04908871650695801
32,0.0501103401184082
32,0.04825568199157715
332,0.04738807678222656
332,0.049094438552856445
32,0.05000162124633789
32,0.04799914360046387
332,0.047091007232666016
32,0.048007965087890625
332,0.04767489433288574
32,0.04809451103210449
32,0.04924464225769043
332,0.04640841484069824
332,0.04608511924743652
32,0.0495913028717041
32,0.04710054397583008
332,0.04748988151550293
332,0.04798603057861328
32,0.050081729888916016
32,0.049018144607543945
332,0.047095537185668945
332,0.04716062545776367
332,0.04709339141845703
32,0.04973149299621582
332,0.046083927154541016
332,0.04800558090209961
32,0.04926562309265137
32,0.049497365951538086
332,0.04627513885498047
332,0.04693889617919922
32,0.04799842834472656
32,0.050631046295166016
332,0.04708433151245117
332,0.04769492149353027
332,0.04818606376647949
32,0.04800057411193848
32,0.04810953140258789
332,0.04803204536437988
332,0.046936988830566406
332,0.04799771308898926
332,0.04703497886657715
332,0.04705452919006348
332,0.04809451103210449
332,0.0470888614654541
32,0.04898643493652344
332,0.04700064659118652
32,0.04908585548400879
332,0.04700899124145508
332,0.047091007232666016
332,0.047080039978027344
32,0.048142433166503906
32,0.049696922302246094
32,0.04906940460205078
332,0.048043251037597656
32,0.04807877540588379
332,0.04706907272338867
332,0.047093868255615234
32,0.049091339111328125
32,0.04998660087585449
332,0.04700827598571777
332,0.046658992767333984
332,0.045993804931640625
332,0.04698467254638672
32,0.05009651184082031
32,0.04898691177368164
32,0.05011343955993652
32,0.048302650451660156
332,0.04707503318786621
332,0.0470430850982666
332,0.04749560356140137
32,0.04895901679992676
332,0.048046112060546875
332,0.04645085334777832
332,0.04702925682067871
32,0.05108046531677246
332,0.05710887908935547
32,0.04796600341796875
32,0.048079490661621094
332,0.04707026481628418
32,0.049999237060546875
332,0.047440528869628906
332,0.04700756072998047
32,0.04708671569824219
332,0.05305290222167969
332,0.049009084701538086
32,0.05515599250793457
332,0.04708695411682129
332,0.0470120906829834
32,0.05208945274353027
32,0.049726247787475586
332,0.04604387283325195
32,0.05008053779602051
32,0.05007767677307129
32,0.04999709129333496
332,0.047017812728881836
32,0.05099964141845703
32,0.049085140228271484
32,0.05000948905944824
332,0.04709672927856445
32,0.0470731258392334
32,0.04999113082885742
32,0.04897809028625488
332,0.0468137264251709
332,0.049410104751586914
32,0.04707932472229004
32,0.05124330520629883
32,0.05000019073486328
332,0.04701423645019531
32,0.05490374565124512
32,0.0510866641998291
332,0.04707217216491699
32,0.0486142635345459
332,0.048371076583862305
332,0.05103421211242676
332,0.047078609466552734
332,0.05008888244628906
332,0.047599077224731445
332,0.048661231994628906
32,0.049078941345214844
32,0.05101180076599121
32,0.049941062927246094
32,0.04909372329711914
332,0.04799008369445801
32,0.05031394958496094
32,0.05147743225097656
32,0.05019044876098633
32,0.051099300384521484
32,0.05000901222229004
332,0.04799962043762207
32,0.04999804496765137
32,0.04999947547912598
32,0.05008292198181152
332,0.04709625244140625
332,0.04799342155456543
332,0.04701089859008789
32,0.05042099952697754
332,0.047635555267333984
32,0.05298972129821777
32,0.05108070373535156
32,0.050075531005859375
332,0.04700922966003418
32,0.04844355583190918
332,0.04755401611328125
32,0.04849958419799805
32,0.04805874824523926
32,0.05055713653564453
332,0.04595685005187988
332,0.047705888748168945
32,0.05124545097351074
32,0.0500788688659668
332,0.05700874328613281
332,0.04709315299987793
32,0.04900026321411133
332,0.04710984230041504
32,0.049985408782958984
332,0.04722404479980469
32,0.049086809158325195
332,0.049008846282958984
332,0.04909062385559082
332,0.04700350761413574
32,0.05036306381225586
32,0.04829764366149902
332,0.04697680473327637
32,0.0500187873840332
32,0.051344871520996094
332,0.04829144477844238
32,0.05000114440917969
32,0.05098676681518555
32,0.0510106086730957
332,0.04808831214904785
332,0.04744148254394531
332,0.0474698543548584
32,0.04800271987915039
32,0.05608940124511719
32,0.05108928680419922
332,0.04700040817260742
332,0.04809689521789551
32,0.04988884925842285
32,0.0490419864654541
32,0.04998922348022461
32,0.05038285255432129
332,0.048995018005371094
332,0.046088218688964844
32,0.05029916763305664
332,0.047095298767089844
332,0.04699349403381348
32,0.04809093475341797
332,0.04608488082885742
332,0.046953439712524414
32,0.04999995231628418
32,0.05009913444519043
332,0.047089576721191406
332,0.047998905181884766
332,0.047451019287109375
32,0.0670778751373291
32,0.04799985885620117
32,0.05030035972595215
32,0.04900813102722168
332,0.04788637161254883
332,0.04816579818725586
332,0.04700970649719238
332,0.04697990417480469
332,0.04801678657531738
332,0.05314016342163086
32,0.050731658935546875
32,0.04681062698364258
32,0.050080060958862305
32,0.050408124923706055
332,0.04698896408081055
332,0.048007965087890625
332,0.0470585823059082
332,0.04807686805725098
332,0.04598641395568848
32,0.05020427703857422
32,0.05007219314575195
32,0.05008411407470703
332,0.0483851432800293
32,0.050080060958862305
332,0.04646563529968262
32,0.0487055778503418
32,0.04999876022338867
32,0.047089338302612305
32,0.048012733459472656
32,0.050087928771972656
332,0.047315359115600586
32,0.05008530616760254
332,0.04705667495727539
32,0.04936838150024414
332,0.04792070388793945
332,0.047093868255615234
32,0.05043959617614746
32,0.04899334907531738
332,0.048990726470947266
32,0.055999040603637695
332,0.047997236251831055
32,0.04999971389770508
32,0.04800605773925781
332,0.056079864501953125
32,0.04999279975891113
332,0.04699826240539551
332,0.04695606231689453
32,0.05100131034851074
332,0.04800105094909668
32,0.04909825325012207
32,0.04911613464355469
32,0.051000356674194336
332,0.05003786087036133
332,0.04900074005126953
32,0.0490109920501709
332,0.046990394592285156
32,0.04899787902832031
332,0.05022907257080078
332,0.046248435974121094
32,0.04912877082824707
32,0.050089359283447266
332,0.046997785568237305
32,0.04898571968078613
32,0.04889798164367676
332,0.06499791145324707
32,0.06599974632263184
32,0.05010843276977539
332,0.04800748825073242
32,0.05008888244628906
32,0.055023193359375
332,0.04707813262939453
32,0.04924273490905762
332,0.04800724983215332
332,0.04698610305786133
32,0.050006866455078125
332,0.047551631927490234
32,0.0500030517578125
32,0.04999732971191406
332,0.04642987251281738
332,0.048003196716308594
332,0.04881858825683594
332,0.04700899124145508
32,0.050020694732666016
332,0.04709649085998535
32,0.0499875545501709
332,0.0470125675201416
332,0.04697918891906738
32,0.05199909210205078
332,0.04700636863708496
332,0.04699873924255371
332,0.04757404327392578
332,0.04710221290588379
32,0.05099892616271973
32,0.050420522689819336
332,0.04892992973327637
32,0.05101180076599121
332,0.04710197448730469
332,0.05208921432495117
32,0.04910778999328613
32,0.05101823806762695
32,0.05109095573425293
32,0.04819607734680176
332,0.04608273506164551
332,0.04709482192993164
332,0.047087907791137695
332,0.04799985885620117
332,0.04709935188293457
332,0.048975467681884766
32,0.049999237060546875
32,0.04800081253051758
32,0.04999113082885742
332,0.04816007614135742
332,0.04695868492126465
332,0.047002553939819336
332,0.04703521728515625
332,0.047241926193237305
332,0.04829764366149902
332,0.04923415184020996
32,0.048329830169677734
332,0.047708988189697266
332,0.04701042175292969
332,0.04716944694519043
32,0.058010101318359375
32,0.04808187484741211
332,0.04722142219543457
32,0.04909086227416992
32,0.05015277862548828
332,0.04720759391784668
32,0.04908919334411621
332,0.048005104064941406
32,0.048018455505371094
32,0.049008846282958984
332,0.0479884147644043
32,0.05198860168457031
332,0.047389984130859375
32,0.04993176460266113
32,0.05152177810668945
32,0.05000805854797363
32,0.05188703536987305
32,0.0502932071685791
32,0.051940202713012695
332,0.04799199104309082
32,0.04799914360046387
32,0.05035805702209473
32,0.04803133010864258
32,0.04708361625671387
332,0.0480804443359375
32,0.050148725509643555
32,0.05010390281677246
332,0.04820370674133301
32,0.05011129379272461
332,0.047998666763305664
332,0.046998023986816406
32,0.05000710487365723
32,0.04809904098510742
32,0.05110979080200195
32,0.05008840560913086
32,0.04797816276550293
32,0.051084280014038086
32,0.05398058891296387
32,0.050107717514038086
32,0.051088809967041016
332,0.04674839973449707
332,0.048636674880981445
32,0.05035853385925293
332,0.04706907272338867
32,0.053177833557128906
32,0.048998355865478516
32,0.048444509506225586
32,0.04901456832885742
32,0.05018901824951172
332,0.04709148406982422
332,0.046955108642578125
