net,wires
"('4', '2')","[(6, 2), (6, 3), (6, 4), (6, 5)]"
"('1', '3')","[(1, 5), (2, 5), (2, 6), (3, 6), (3, 5), (3, 4), (4, 4)]"
"('4', '5')","[(6, 2), (6, 1), (5, 1), (4, 1), (3, 1)]"
"('3', '5')","[(4, 4), (4, 3), (5, 3), (5, 2), (4, 2), (3, 2), (3, 1)]"
"('1', '2')","[(1, 5), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (4, 6), (4, 5), (5, 5), (5, 6), (5, 7), (6, 7), (6, 6), (6, 5)]"
wirecount,34
