net,wires
"('1', '3')","[(1, 5), (2, 5), (2, 4), (3, 4), (4, 4)]"
"('4', '5')","[(6, 2), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (2, 2), (2, 1), (3, 1)]"
"('1', '2')","[(1, 5), (0, 5), (0, 6), (0, 7), (1, 7), (1, 6), (2, 6), (2, 7), (3, 7), (4, 7), (4, 6), (4, 5), (5, 5), (6, 5)]"
"('3', '5')","[(4, 4), (4, 3), (4, 2), (4, 1), (3, 1)]"
"('4', '2')","[(6, 2), (7, 2), (7, 3), (6, 3), (6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (6, 7), (5, 7), (5, 6), (6, 6), (6, 5)]"
wirecount,46
