net,wires
"('1', '2')","[(1, 5), (0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (4, 6), (4, 5), (5, 5), (6, 5)]"
"('4', '2')","[(6, 2), (6, 3), (5, 3), (5, 4), (6, 4), (6, 5)]"
"('4', '5')","[(6, 2), (6, 1), (7, 1), (7, 0), (6, 0), (5, 0), (4, 0), (4, 1), (3, 1)]"
"('1', '3')","[(1, 5), (1, 4), (2, 4), (3, 4), (4, 4)]"
"('3', '5')","[(4, 4), (4, 3), (4, 2), (3, 2), (3, 1)]"
wirecount,32
