cost,runtime
95,0.0010056495666503906
106,0.0010478496551513672
390,0.00084686279296875
88,0.0009720325469970703
67,0.0007481575012207031
73,0.0007269382476806641
91,0.0007648468017578125
125,0.0008502006530761719
76,0.0007617473602294922
89,0.0009031295776367188
78,0.0009827613830566406
136,0.0010519027709960938
97,0.000926971435546875
88,0.0007262229919433594
92,0.0007898807525634766
418,0.00084686279296875
74,0.0007579326629638672
412,0.0008108615875244141
76,0.0008137226104736328
113,0.0012941360473632812
92,0.0008890628814697266
103,0.0014698505401611328
84,0.0008461475372314453
76,0.0011172294616699219
514,0.0010676383972167969
87,0.0009870529174804688
86,0.0008130073547363281
86,0.0007669925689697266
460,0.0010609626770019531
140,0.0012652873992919922
88,0.0008292198181152344
400,0.000942230224609375
82,0.0007588863372802734
100,0.0007867813110351562
76,0.00072479248046875
86,0.000904083251953125
88,0.0007817745208740234
73,0.0007519721984863281
81,0.0012891292572021484
94,0.0012841224670410156
102,0.0008633136749267578
106,0.0008161067962646484
394,0.0009179115295410156
77,0.0007989406585693359
83,0.0007879734039306641
75,0.0007979869842529297
104,0.0007998943328857422
87,0.0007491111755371094
132,0.0008971691131591797
139,0.0013051033020019531
106,0.001024007797241211
86,0.0007648468017578125
81,0.0010471343994140625
112,0.0008330345153808594
85,0.0007750988006591797
101,0.0007781982421875
96,0.0009300708770751953
100,0.0008428096771240234
104,0.0008299350738525391
82,0.001039266586303711
149,0.0015170574188232422
106,0.0008919239044189453
85,0.0007500648498535156
76,0.0007300376892089844
450,0.0010881423950195312
120,0.000881195068359375
132,0.0009529590606689453
92,0.0007832050323486328
87,0.0007460117340087891
81,0.0007450580596923828
106,0.0012738704681396484
67,0.0009989738464355469
100,0.0008060932159423828
89,0.0010542869567871094
77,0.0007750988006591797
390,0.0007910728454589844
127,0.0008449554443359375
104,0.0009527206420898438
208,0.0010459423065185547
102,0.0007817745208740234
108,0.0008330345153808594
84,0.0008361339569091797
101,0.001344919204711914
76,0.0009169578552246094
165,0.0009846687316894531
107,0.0010349750518798828
70,0.0007307529449462891
91,0.000759124755859375
85,0.0011341571807861328
74,0.0007998943328857422
394,0.0008349418640136719
85,0.0007967948913574219
97,0.0015017986297607422
395,0.0010089874267578125
104,0.0007941722869873047
130,0.0011332035064697266
114,0.000843048095703125
92,0.0007758140563964844
127,0.0008709430694580078
83,0.0008990764617919922
91,0.0007879734039306641
95,0.0007619857788085938
425,0.001129150390625
147,0.0015108585357666016
92,0.0007951259613037109
78,0.0007288455963134766
415,0.0008392333984375
94,0.0009703636169433594
398,0.0007889270782470703
103,0.0008699893951416016
132,0.0008671283721923828
99,0.0007727146148681641
85,0.0007948875427246094
86,0.0013070106506347656
94,0.0008361339569091797
435,0.0010356903076171875
69,0.0007500648498535156
78,0.0007281303405761719
66,0.0007460117340087891
100,0.0007648468017578125
103,0.0008327960968017578
171,0.0016257762908935547
180,0.0010068416595458984
91,0.00078582763671875
79,0.0010349750518798828
397,0.0008108615875244141
91,0.0007648468017578125
73,0.0008630752563476562
118,0.0008623600006103516
80,0.0007488727569580078
108,0.0008060932159423828
93,0.001280069351196289
110,0.00086212158203125
127,0.0011599063873291016
110,0.0008780956268310547
471,0.0009489059448242188
73,0.0007562637329101562
83,0.0007500648498535156
87,0.0007379055023193359
122,0.0010139942169189453
101,0.0012371540069580078
776,0.0010552406311035156
93,0.0008051395416259766
119,0.0011219978332519531
115,0.0008971691131591797
94,0.0009310245513916016
113,0.0008590221405029297
88,0.0008809566497802734
90,0.001177072525024414
80,0.0008139610290527344
117,0.0009207725524902344
119,0.0009791851043701172
66,0.0007200241088867188
114,0.0008099079132080078
114,0.0009949207305908203
90,0.0009429454803466797
83,0.0007317066192626953
90,0.0010788440704345703
133,0.0008907318115234375
73,0.0007469654083251953
107,0.0009570121765136719
139,0.0008981227874755859
115,0.0008151531219482422
93,0.0007631778717041016
94,0.0009379386901855469
102,0.0008082389831542969
86,0.0007309913635253906
84,0.0007789134979248047
132,0.001458883285522461
397,0.0011019706726074219
79,0.0007863044738769531
80,0.0007550716400146484
108,0.0010249614715576172
85,0.000762939453125
82,0.0007369518280029297
144,0.0010302066802978516
86,0.0007569789886474609
392,0.0007688999176025391
79,0.0007989406585693359
97,0.001501321792602539
88,0.0009770393371582031
80,0.0007741451263427734
91,0.0007898807525634766
75,0.0009288787841796875
134,0.0008919239044189453
91,0.0007619857788085938
133,0.0011677742004394531
94,0.0008068084716796875
131,0.0008609294891357422
104,0.00090789794921875
99,0.0009989738464355469
83,0.0008168220520019531
699,0.0008881092071533203
100,0.0007958412170410156
78,0.0007269382476806641
81,0.0009849071502685547
84,0.0007452964782714844
117,0.0008168220520019531
84,0.0008349418640136719
404,0.001432180404663086
93,0.0008461475372314453
129,0.0008740425109863281
110,0.0009980201721191406
118,0.0008728504180908203
99,0.0007879734039306641
125,0.0008828639984130859
89,0.0007510185241699219
101,0.0007708072662353516
116,0.0009899139404296875
73,0.00090789794921875
74,0.0007498264312744141
94,0.0007870197296142578
93,0.0009601116180419922
109,0.0008358955383300781
682,0.0007450580596923828
109,0.0009968280792236328
85,0.0007710456848144531
117,0.0008211135864257812
92,0.0008177757263183594
93,0.0014770030975341797
77,0.0008797645568847656
87,0.0007688999176025391
99,0.0007801055908203125
118,0.0009999275207519531
416,0.0008261203765869141
87,0.0007560253143310547
81,0.0010302066802978516
96,0.0007829666137695312
83,0.0008170604705810547
73,0.0007832050323486328
82,0.0012400150299072266
88,0.0013170242309570312
88,0.0007739067077636719
85,0.0012199878692626953
96,0.0008988380432128906
100,0.0007829666137695312
108,0.0008127689361572266
107,0.0008211135864257812
78,0.0007350444793701172
96,0.0008091926574707031
88,0.0013697147369384766
130,0.0009140968322753906
74,0.0007970333099365234
92,0.0007648468017578125
463,0.0010938644409179688
73,0.0007231235504150391
66,0.0006961822509765625
99,0.0010952949523925781
565,0.0011792182922363281
81,0.00074005126953125
508,0.0010497570037841797
74,0.001191854476928711
68,0.0008180141448974609
85,0.0007548332214355469
103,0.0011670589447021484
82,0.0007770061492919922
375,0.0007197856903076172
80,0.0007328987121582031
81,0.0007708072662353516
85,0.0007350444793701172
86,0.0007512569427490234
110,0.0009253025054931641
129,0.0015010833740234375
403,0.0010480880737304688
99,0.0008139610290527344
134,0.0011980533599853516
76,0.0007510185241699219
100,0.0007920265197753906
116,0.0009779930114746094
85,0.0007688999176025391
89,0.0007569789886474609
86,0.000743865966796875
98,0.0010178089141845703
84,0.001177072525024414
70,0.0007510185241699219
106,0.0011072158813476562
76,0.0007610321044921875
100,0.0007879734039306641
82,0.0007348060607910156
98,0.0008230209350585938
71,0.0007200241088867188
90,0.0007557868957519531
83,0.0009772777557373047
78,0.0010938644409179688
110,0.0009946823120117188
90,0.0007729530334472656
419,0.0011742115020751953
92,0.0008139610290527344
123,0.0008361339569091797
98,0.0009410381317138672
135,0.0009200572967529297
83,0.0007328987121582031
387,0.00074005126953125
92,0.0008809566497802734
75,0.0010569095611572266
136,0.0009846687316894531
93,0.0010988712310791016
90,0.0008261203765869141
79,0.0007371902465820312
376,0.0007269382476806641
393,0.0007977485656738281
159,0.0009131431579589844
135,0.0008528232574462891
96,0.0009768009185791016
142,0.0009431838989257812
100,0.0008969306945800781
94,0.0007889270782470703
91,0.0009181499481201172
74,0.0007441043853759766
109,0.0008051395416259766
87,0.0009779930114746094
407,0.0008220672607421875
90,0.0008819103240966797
90,0.000843048095703125
79,0.0007569789886474609
